date,year,month,day,region,country,category,medicine,age_group,units_sold,unit_price,stock_level,expiry_days_remaining,covid_flag
2024-11-19,2024,11,19,North America,Canada,Vitamin,Vitamin C,13-25,317,40.47,4555,592,0
2020-06-09,2020,6,9,Middle East,UAE,Chronic,Amlodipine,46-65,375,12.04,4512,561,1
2022-04-24,2022,4,24,North America,USA,Antipyretic,Ibuprofen,65+,282,88.01,4629,281,0
2023-12-21,2023,12,21,Europe,France,Chronic,Metformin,13-25,314,77.46,4565,566,0
2020-08-01,2020,8,1,Africa,Nigeria,Antipyretic,Ibuprofen,0-12,271,93.58,4722,228,1
2024-03-08,2024,3,8,South Asia,Bangladesh,Cough_Cold,Cetirizine,13-25,537,10.64,4535,587,0
2022-08-29,2022,8,29,Europe,Germany,Cough_Cold,Cetirizine,65+,143,21.35,5024,698,0
2020-06-25,2020,6,25,Oceania,New Zealand,Chronic,Metformin,65+,369,53.47,4631,394,1
2025-05-26,2025,5,26,North America,USA,Cough_Cold,Cetirizine,46-65,545,20.94,4611,247,0
2020-04-07,2020,4,7,South America,Argentina,Antibiotic,Amoxicillin,65+,673,17.9,4420,472,1
2024-08-27,2024,8,27,South America,Argentina,Antibiotic,Azithromycin,26-45,179,17.15,4764,563,0
2020-05-14,2020,5,14,South Asia,Bangladesh,Antibiotic,Azithromycin,46-65,859,55.4,4320,337,1
2022-06-10,2022,6,10,East Asia,Japan,Antibiotic,Azithromycin,65+,474,37.72,4605,686,0
2025-07-24,2025,7,24,Europe,Germany,Cough_Cold,Cough Syrup,46-65,364,13.87,4471,227,0
2024-08-22,2024,8,22,East Asia,South Korea,Vitamin,Vitamin C,65+,162,61.74,4840,450,0
2021-12-05,2021,12,5,Middle East,UAE,Cough_Cold,Cough Syrup,26-45,710,55.88,4223,601,1
2020-01-25,2020,1,25,North America,Canada,Cough_Cold,Cetirizine,46-65,565,99.65,4523,238,1
2020-03-29,2020,3,29,South Asia,India,Antipyretic,Ibuprofen,0-12,1012,69.16,3954,65,1
2025-07-04,2025,7,4,Oceania,New Zealand,Antibiotic,Azithromycin,26-45,381,60.94,4479,30,0
2022-04-25,2022,4,25,South America,Argentina,Vitamin,Multivitamin,65+,339,23.26,4587,89,0
2022-10-28,2022,10,28,East Asia,Japan,Cough_Cold,Cough Syrup,0-12,207,63.26,4760,62,0
2024-08-02,2024,8,2,South Asia,Bangladesh,Antipyretic,Ibuprofen,65+,202,31.99,4934,448,0
2023-08-05,2023,8,5,Middle East,Saudi Arabia,Vitamin,Multivitamin,46-65,207,22.2,4783,107,0
2024-08-17,2024,8,17,Oceania,Australia,Cough_Cold,Cetirizine,13-25,101,63.75,5088,219,0
2024-05-06,2024,5,6,North America,Canada,Cough_Cold,Cetirizine,46-65,237,64.66,4909,488,0
2021-04-28,2021,4,28,Africa,Nigeria,Vitamin,Multivitamin,0-12,746,73.33,4409,338,1
2020-11-17,2020,11,17,Middle East,UAE,Chronic,Amlodipine,13-25,480,73.3,4474,700,1
2024-04-05,2024,4,5,Africa,Nigeria,Antipyretic,Paracetamol,26-45,525,5.51,4368,308,0
2023-04-07,2023,4,7,Oceania,Australia,Chronic,Metformin,26-45,465,53.08,4341,117,0
2023-07-16,2023,7,16,South Asia,Sri Lanka,Vitamin,Vitamin C,46-65,312,73.02,4710,39,0
2024-06-07,2024,6,7,East Asia,South Korea,Cough_Cold,Cetirizine,13-25,345,97.19,4498,484,0
2025-11-18,2025,11,18,Middle East,UAE,Antipyretic,Paracetamol,46-65,183,79.88,4772,303,0
2023-05-07,2023,5,7,South Asia,India,Antibiotic,Azithromycin,13-25,344,43.77,4655,136,0
2020-05-14,2020,5,14,Oceania,Australia,Antipyretic,Paracetamol,65+,4420,41.34,471,651,1
2021-06-11,2021,6,11,South Asia,Bangladesh,Antipyretic,Ibuprofen,0-12,767,16.53,4345,499,1
2020-08-26,2020,8,26,Africa,Kenya,Antipyretic,Paracetamol,65+,324,84.71,4748,430,1
2022-12-16,2022,12,16,East Asia,Japan,Chronic,Metformin,46-65,387,49.44,4727,153,0
2025-03-03,2025,3,3,Middle East,Saudi Arabia,Vitamin,Multivitamin,65+,301,62.37,4742,649,0
2024-08-07,2024,8,7,Africa,Nigeria,Vitamin,Vitamin C,0-12,318,74.91,4619,626,0
2021-02-08,2021,2,8,East Asia,Japan,Chronic,Amlodipine,13-25,656,72.01,4353,416,1
2024-11-14,2024,11,14,North America,Canada,Antibiotic,Amoxicillin,13-25,153,78.25,4749,201,0
2022-06-05,2022,6,5,Oceania,New Zealand,Antipyretic,Paracetamol,26-45,457,49.25,4399,678,0
2023-09-16,2023,9,16,Africa,Kenya,Antibiotic,Amoxicillin,46-65,265,71.39,4822,460,0
2020-04-19,2020,4,19,Middle East,Saudi Arabia,Antipyretic,Ibuprofen,13-25,899,48.38,3910,615,1
2020-01-13,2020,1,13,Europe,UK,Chronic,Metformin,13-25,512,82.0,4638,671,1
2021-11-17,2021,11,17,Europe,Germany,Chronic,Metformin,0-12,633,73.74,4382,143,1
2023-01-15,2023,1,15,Africa,Kenya,Antibiotic,Amoxicillin,65+,285,13.54,4882,648,0
2025-04-27,2025,4,27,North America,Canada,Chronic,Amlodipine,26-45,562,20.91,4478,607,0
2022-08-09,2022,8,9,Europe,UK,Chronic,Amlodipine,65+,208,75.57,4760,257,0
2020-04-06,2020,4,6,East Asia,South Korea,Antibiotic,Amoxicillin,0-12,1055,95.34,4025,333,1
2024-10-26,2024,10,26,Africa,Kenya,Antipyretic,Paracetamol,46-65,318,64.64,4754,245,0
2024-02-02,2024,2,2,North America,USA,Antibiotic,Azithromycin,26-45,649,90.33,4483,48,0
2022-10-29,2022,10,29,South Asia,Sri Lanka,Antipyretic,Paracetamol,0-12,191,43.74,4664,312,0
2022-10-26,2022,10,26,East Asia,China,Vitamin,Multivitamin,13-25,293,61.16,4843,414,0
2024-12-17,2024,12,17,North America,Canada,Cough_Cold,Cough Syrup,26-45,203,93.0,4935,233,0
2021-12-18,2021,12,18,South America,Argentina,Vitamin,Multivitamin,26-45,322,17.74,4492,255,1
2020-04-23,2020,4,23,East Asia,China,Antibiotic,Azithromycin,46-65,719,40.19,4364,386,1
2020-09-03,2020,9,3,Oceania,New Zealand,Chronic,Metformin,65+,298,43.62,4777,563,1
2022-09-19,2022,9,19,Africa,Kenya,Antibiotic,Amoxicillin,0-12,269,12.1,4718,698,0
2020-09-24,2020,9,24,Middle East,Saudi Arabia,Cough_Cold,Cetirizine,65+,443,68.21,4527,492,1
2020-01-02,2020,1,2,East Asia,China,Chronic,Metformin,0-12,759,79.92,4159,591,1
2021-10-29,2021,10,29,Oceania,New Zealand,Antipyretic,Paracetamol,65+,268,37.94,4798,676,1
2023-09-27,2023,9,27,Oceania,Australia,Chronic,Amlodipine,13-25,293,89.12,4592,161,0
2022-09-14,2022,9,14,South Asia,Bangladesh,Antipyretic,Paracetamol,65+,222,9.78,4698,581,0
2024-08-05,2024,8,5,Middle East,UAE,Vitamin,Multivitamin,65+,269,21.49,4537,198,0
2023-01-26,2023,1,26,East Asia,China,Cough_Cold,Cough Syrup,65+,360,96.63,4632,289,0
2022-09-02,2022,9,2,North America,Canada,Antipyretic,Ibuprofen,26-45,241,59.67,4595,161,0
2023-09-05,2023,9,5,South Asia,Bangladesh,Antipyretic,Ibuprofen,0-12,122,12.83,4882,691,0
2023-12-22,2023,12,22,North America,USA,Vitamin,Vitamin C,0-12,1175,26.42,3769,572,0
2021-12-09,2021,12,9,Oceania,New Zealand,Antipyretic,Paracetamol,26-45,576,32.75,4252,178,1
2021-04-21,2021,4,21,North America,USA,Antibiotic,Azithromycin,46-65,423,42.96,4653,98,1
2021-01-01,2021,1,1,Europe,UK,Vitamin,Multivitamin,26-45,881,21.75,4028,475,1
2020-11-21,2020,11,21,South America,Brazil,Antibiotic,Amoxicillin,26-45,508,93.2,4471,98,1
2024-12-16,2024,12,16,South Asia,India,Cough_Cold,Cough Syrup,13-25,232,81.97,4885,672,0
2025-04-01,2025,4,1,Oceania,New Zealand,Chronic,Amlodipine,46-65,326,11.34,4737,449,0
2020-05-26,2020,5,26,Middle East,Saudi Arabia,Antipyretic,Paracetamol,46-65,867,50.93,4181,660,1
2022-11-20,2022,11,20,South Asia,Sri Lanka,Antibiotic,Azithromycin,26-45,353,15.08,4773,226,0
2020-11-10,2020,11,10,South Asia,Bangladesh,Cough_Cold,Cetirizine,13-25,387,12.46,4595,411,1
2024-05-18,2024,5,18,East Asia,China,Cough_Cold,Cetirizine,26-45,374,17.41,4663,334,0
2025-05-29,2025,5,29,North America,USA,Antipyretic,Paracetamol,0-12,574,71.22,4420,403,0
2020-02-04,2020,2,4,Africa,Nigeria,Cough_Cold,Cough Syrup,26-45,1001,59.5,4099,351,1
2023-04-25,2023,4,25,East Asia,South Korea,Antibiotic,Amoxicillin,26-45,302,44.38,4751,566,0
2023-07-07,2023,7,7,South Asia,India,Chronic,Metformin,13-25,192,85.33,4881,73,0
2025-04-13,2025,4,13,East Asia,Japan,Chronic,Amlodipine,46-65,484,94.12,4541,280,0
2023-10-13,2023,10,13,Europe,France,Chronic,Amlodipine,65+,247,64.33,4568,463,0
2021-11-12,2021,11,12,North America,Canada,Antipyretic,Paracetamol,65+,525,68.85,4413,50,1
2020-03-06,2020,3,6,Europe,Germany,Chronic,Metformin,0-12,731,9.48,4075,312,1
2024-03-07,2024,3,7,North America,Canada,Antipyretic,Paracetamol,13-25,593,72.65,4559,603,0
2022-08-05,2022,8,5,Europe,Germany,Antibiotic,Azithromycin,26-45,192,41.57,4900,245,0
2021-03-04,2021,3,4,Africa,Kenya,Chronic,Amlodipine,26-45,554,41.6,4637,127,1
2023-10-07,2023,10,7,Oceania,New Zealand,Antibiotic,Azithromycin,26-45,149,10.0,5043,677,0
2021-12-02,2021,12,2,East Asia,Japan,Chronic,Metformin,13-25,398,27.76,4739,203,1
2023-06-16,2023,6,16,East Asia,China,Antibiotic,Amoxicillin,0-12,362,97.51,4531,638,0
2024-04-02,2024,4,2,South Asia,Bangladesh,Vitamin,Multivitamin,26-45,334,12.98,4707,173,0
2022-04-13,2022,4,13,South America,Brazil,Chronic,Amlodipine,13-25,517,51.59,4311,318,0
2021-11-09,2021,11,9,Middle East,UAE,Vitamin,Multivitamin,65+,453,77.35,4638,110,1
2025-02-09,2025,2,9,Middle East,UAE,Cough_Cold,Cetirizine,13-25,314,24.29,4777,238,0
2022-07-25,2022,7,25,South Asia,Sri Lanka,Chronic,Metformin,13-25,252,17.4,4801,530,0
2023-02-17,2023,2,17,Europe,Germany,Vitamin,Vitamin C,46-65,316,81.23,4740,83,0
2022-06-13,2022,6,13,Oceania,Australia,Antibiotic,Amoxicillin,0-12,481,73.86,4550,472,0
2024-04-07,2024,4,7,South Asia,India,Cough_Cold,Cetirizine,46-65,376,82.91,4459,183,0
2020-07-01,2020,7,1,South Asia,Sri Lanka,Vitamin,Multivitamin,65+,646,36.29,4334,689,1
2023-06-17,2023,6,17,South America,Brazil,Antipyretic,Paracetamol,65+,402,95.88,4680,680,0
2025-08-18,2025,8,18,Africa,Kenya,Cough_Cold,Cough Syrup,46-65,299,30.43,4784,646,0
2025-10-30,2025,10,30,South Asia,Bangladesh,Antipyretic,Paracetamol,46-65,206,5.38,4720,661,0
2025-08-27,2025,8,27,Middle East,Saudi Arabia,Chronic,Metformin,26-45,256,25.83,4836,58,0
2025-04-30,2025,4,30,East Asia,South Korea,Cough_Cold,Cough Syrup,13-25,509,42.92,4531,440,0
2024-10-04,2024,10,4,Europe,Germany,Antipyretic,Paracetamol,13-25,138,26.04,5048,229,0
2021-02-06,2021,2,6,Europe,UK,Antipyretic,Paracetamol,0-12,499,34.47,4312,711,1
2021-11-28,2021,11,28,Middle East,UAE,Antibiotic,Amoxicillin,46-65,509,35.34,4655,258,1
2023-04-26,2023,4,26,Middle East,UAE,Vitamin,Multivitamin,0-12,418,11.56,4499,154,0
2020-11-27,2020,11,27,Middle East,UAE,Antipyretic,Ibuprofen,13-25,578,80.18,4263,184,1
2025-06-12,2025,6,12,South Asia,Bangladesh,Vitamin,Multivitamin,26-45,207,66.67,4798,695,0
2025-08-05,2025,8,5,East Asia,China,Antipyretic,Paracetamol,26-45,158,90.69,4911,321,0
2025-07-09,2025,7,9,South Asia,India,Antipyretic,Paracetamol,26-45,286,41.84,4601,309,0
2021-10-11,2021,10,11,Oceania,New Zealand,Cough_Cold,Cough Syrup,65+,319,57.23,4546,161,1
2021-10-29,2021,10,29,Africa,Kenya,Antibiotic,Amoxicillin,65+,470,13.26,4690,629,1
2022-04-18,2022,4,18,Africa,Kenya,Antibiotic,Azithromycin,46-65,527,24.98,4599,626,0
2022-09-29,2022,9,29,Oceania,Australia,Vitamin,Vitamin C,0-12,163,43.22,4663,387,0
2022-01-06,2022,1,6,Europe,Germany,Vitamin,Multivitamin,13-25,494,84.98,4510,95,0
2020-11-01,2020,11,1,Middle East,UAE,Antibiotic,Azithromycin,0-12,533,54.53,4650,106,1
2024-12-21,2024,12,21,North America,USA,Cough_Cold,Cough Syrup,0-12,330,47.36,4823,588,0
2024-09-16,2024,9,16,South Asia,Sri Lanka,Antibiotic,Amoxicillin,26-45,315,6.18,4729,607,0
2021-10-15,2021,10,15,South Asia,Sri Lanka,Antibiotic,Amoxicillin,65+,255,63.06,4586,669,1
2023-03-31,2023,3,31,North America,USA,Vitamin,Vitamin C,65+,555,10.52,4458,538,0
2024-06-08,2024,6,8,South Asia,India,Cough_Cold,Cough Syrup,13-25,321,50.78,4554,338,0
2020-01-15,2020,1,15,North America,Canada,Vitamin,Multivitamin,0-12,950,58.64,3906,453,1
2024-01-13,2024,1,13,North America,Canada,Chronic,Metformin,46-65,154,46.65,4833,368,0
2020-08-09,2020,8,9,North America,USA,Antibiotic,Azithromycin,26-45,483,61.35,4628,191,1
2023-04-04,2023,4,4,Africa,Nigeria,Antibiotic,Azithromycin,13-25,458,51.6,4463,181,0
2021-10-01,2021,10,1,South Asia,Sri Lanka,Vitamin,Vitamin C,46-65,233,37.82,4817,341,1
2024-09-05,2024,9,5,South America,Brazil,Antibiotic,Amoxicillin,46-65,321,89.35,4866,636,0
2020-09-25,2020,9,25,Oceania,Australia,Cough_Cold,Cetirizine,26-45,390,41.38,4652,329,1
2020-11-20,2020,11,20,East Asia,Japan,Antipyretic,Paracetamol,26-45,308,13.18,4838,719,1
2021-10-12,2021,10,12,East Asia,China,Antipyretic,Paracetamol,65+,540,19.11,4626,613,1
2025-11-25,2025,11,25,South Asia,Bangladesh,Vitamin,Multivitamin,46-65,260,14.51,4719,610,0
2022-08-25,2022,8,25,South America,Brazil,Antibiotic,Azithromycin,0-12,186,55.42,4692,485,0
2024-02-14,2024,2,14,Oceania,New Zealand,Vitamin,Vitamin C,0-12,376,75.22,4706,108,0
2022-12-18,2022,12,18,East Asia,Japan,Cough_Cold,Cough Syrup,65+,479,13.02,4620,179,0
2022-08-17,2022,8,17,North America,USA,Vitamin,Vitamin C,26-45,232,16.45,4710,556,0
2020-03-21,2020,3,21,East Asia,South Korea,Cough_Cold,Cough Syrup,13-25,786,8.87,4274,244,1
2020-10-27,2020,10,27,Oceania,Australia,Vitamin,Vitamin C,26-45,360,71.03,4628,338,1
2024-11-04,2024,11,4,Europe,UK,Antipyretic,Paracetamol,13-25,347,98.79,4690,45,0
2024-06-28,2024,6,28,Middle East,Saudi Arabia,Vitamin,Vitamin C,65+,199,43.43,4958,277,0
2020-01-06,2020,1,6,North America,USA,Chronic,Metformin,0-12,809,58.88,4011,182,1
2022-04-04,2022,4,4,East Asia,South Korea,Cough_Cold,Cough Syrup,65+,588,18.36,4316,605,0
2022-02-07,2022,2,7,Oceania,Australia,Antipyretic,Ibuprofen,0-12,651,10.46,4149,319,0
2025-01-05,2025,1,5,Europe,France,Antipyretic,Ibuprofen,0-12,350,73.93,4472,672,0
2025-02-17,2025,2,17,South America,Argentina,Chronic,Metformin,65+,208,18.61,4638,192,0
2021-04-20,2021,4,20,Europe,Germany,Chronic,Amlodipine,46-65,841,37.61,4011,260,1
2021-07-17,2021,7,17,Europe,UK,Antibiotic,Amoxicillin,13-25,485,5.79,4356,284,1
2025-07-09,2025,7,9,Africa,Kenya,Cough_Cold,Cetirizine,46-65,163,94.3,4812,661,0
2022-05-03,2022,5,3,South Asia,India,Vitamin,Vitamin C,46-65,576,19.55,4490,128,0
2025-04-11,2025,4,11,Middle East,UAE,Vitamin,Vitamin C,46-65,346,98.58,4838,465,0
2025-08-26,2025,8,26,East Asia,Japan,Cough_Cold,Cetirizine,46-65,350,86.86,4490,191,0
2020-04-18,2020,4,18,Oceania,New Zealand,Vitamin,Multivitamin,46-65,885,6.95,3946,160,1
2020-11-09,2020,11,9,South America,Argentina,Vitamin,Vitamin C,0-12,553,30.91,4382,143,1
2021-01-15,2021,1,15,Oceania,Australia,Cough_Cold,Cetirizine,65+,851,20.16,4258,114,1
2024-12-28,2024,12,28,Europe,Germany,Antipyretic,Paracetamol,65+,530,28.84,4331,708,0
2020-02-12,2020,2,12,East Asia,China,Cough_Cold,Cough Syrup,0-12,439,58.0,4613,361,1
2020-07-02,2020,7,2,Africa,Kenya,Vitamin,Multivitamin,0-12,473,18.72,4664,119,1
2025-09-24,2025,9,24,South Asia,Bangladesh,Antipyretic,Ibuprofen,46-65,270,38.19,4853,249,0
2021-10-11,2021,10,11,East Asia,South Korea,Chronic,Metformin,26-45,355,53.75,4804,244,1
2025-09-14,2025,9,14,Africa,Kenya,Vitamin,Vitamin C,13-25,135,23.43,4742,478,0
2022-05-02,2022,5,2,Africa,Kenya,Antibiotic,Amoxicillin,46-65,391,79.19,4720,651,0
2022-04-09,2022,4,9,Middle East,Saudi Arabia,Cough_Cold,Cetirizine,46-65,519,21.19,4285,337,0
2020-03-14,2020,3,14,South Asia,India,Chronic,Amlodipine,0-12,673,92.29,4284,227,1
2021-05-28,2021,5,28,South America,Brazil,Antipyretic,Ibuprofen,65+,396,38.68,4488,51,1
2025-10-18,2025,10,18,East Asia,China,Vitamin,Vitamin C,13-25,302,75.16,4664,522,0
2020-07-19,2020,7,19,South America,Brazil,Cough_Cold,Cough Syrup,65+,327,11.02,4748,198,1
2020-08-27,2020,8,27,Middle East,Saudi Arabia,Cough_Cold,Cough Syrup,13-25,352,54.98,4634,388,1
2024-07-18,2024,7,18,Europe,UK,Vitamin,Vitamin C,13-25,294,86.8,4761,237,0
2025-01-30,2025,1,30,South Asia,Bangladesh,Vitamin,Vitamin C,13-25,504,37.81,4328,659,0
2022-12-27,2022,12,27,Oceania,New Zealand,Chronic,Metformin,65+,360,98.34,4791,204,0
2024-12-28,2024,12,28,Europe,Germany,Vitamin,Multivitamin,13-25,380,16.41,4503,207,0
2025-03-17,2025,3,17,East Asia,South Korea,Cough_Cold,Cough Syrup,0-12,583,62.1,4532,352,0
2022-04-04,2022,4,4,East Asia,Japan,Cough_Cold,Cetirizine,65+,411,77.4,4595,73,0
2020-01-17,2020,1,17,Africa,Kenya,Antipyretic,Ibuprofen,13-25,650,84.78,4396,136,1
2025-04-12,2025,4,12,East Asia,Japan,Antipyretic,Ibuprofen,46-65,201,27.76,4713,129,0
2023-08-01,2023,8,1,Middle East,UAE,Chronic,Amlodipine,46-65,181,60.59,4827,310,0
2022-10-17,2022,10,17,North America,USA,Chronic,Amlodipine,26-45,163,18.55,4771,423,0
2020-09-09,2020,9,9,Middle East,Saudi Arabia,Cough_Cold,Cough Syrup,0-12,234,53.5,4945,93,1
2025-01-22,2025,1,22,East Asia,Japan,Antipyretic,Paracetamol,26-45,307,87.47,4867,588,0
2023-08-29,2023,8,29,South America,Brazil,Antibiotic,Azithromycin,46-65,288,20.1,4578,68,0
2022-01-30,2022,1,30,South Asia,India,Antibiotic,Azithromycin,46-65,493,7.09,4378,38,0
2022-02-25,2022,2,25,Middle East,UAE,Cough_Cold,Cetirizine,65+,972,40.51,4158,75,0
2020-06-11,2020,6,11,East Asia,Japan,Chronic,Metformin,46-65,779,88.28,4069,136,1
2023-12-13,2023,12,13,East Asia,South Korea,Antipyretic,Paracetamol,13-25,440,11.04,4607,103,0
2023-03-23,2023,3,23,North America,Canada,Chronic,Amlodipine,26-45,523,35.72,4554,118,0
2021-11-24,2021,11,24,South Asia,Sri Lanka,Cough_Cold,Cetirizine,65+,499,98.94,4627,587,1
2024-10-14,2024,10,14,South America,Brazil,Antipyretic,Paracetamol,65+,321,30.49,4645,720,0
2021-11-04,2021,11,4,Europe,UK,Cough_Cold,Cough Syrup,65+,286,93.38,4668,283,1
2021-12-24,2021,12,24,Africa,Nigeria,Vitamin,Multivitamin,46-65,424,66.16,4640,225,1
2023-11-10,2023,11,10,Africa,Kenya,Antipyretic,Ibuprofen,0-12,247,8.92,4761,585,0
2022-05-17,2022,5,17,Europe,Germany,Cough_Cold,Cough Syrup,0-12,268,72.46,4932,232,0
2024-03-07,2024,3,7,East Asia,South Korea,Chronic,Amlodipine,26-45,279,86.52,4811,139,0
2022-06-30,2022,6,30,East Asia,Japan,Antibiotic,Amoxicillin,26-45,366,35.02,4697,203,0
2021-09-03,2021,9,3,Europe,UK,Antipyretic,Ibuprofen,0-12,507,53.57,4459,56,1
2024-12-19,2024,12,19,Oceania,Australia,Chronic,Amlodipine,13-25,260,51.12,4708,268,0
2023-06-19,2023,6,19,East Asia,Japan,Antipyretic,Ibuprofen,0-12,322,50.66,4630,206,0
2022-04-23,2022,4,23,Africa,Kenya,Antibiotic,Azithromycin,46-65,501,26.45,4403,642,0
2022-02-26,2022,2,26,East Asia,South Korea,Antibiotic,Azithromycin,13-25,486,40.41,4708,648,0
2021-06-17,2021,6,17,East Asia,South Korea,Vitamin,Vitamin C,13-25,387,98.61,4537,417,1
2023-10-20,2023,10,20,Europe,UK,Antipyretic,Ibuprofen,26-45,153,54.7,4695,297,0
2021-05-06,2021,5,6,Europe,UK,Vitamin,Multivitamin,65+,899,18.64,4206,163,1
2023-07-13,2023,7,13,East Asia,Japan,Chronic,Amlodipine,13-25,297,83.81,4728,368,0
2020-10-23,2020,10,23,Africa,Kenya,Cough_Cold,Cetirizine,0-12,284,41.57,4525,344,1
2025-09-24,2025,9,24,South America,Argentina,Chronic,Amlodipine,0-12,262,44.33,4744,197,0
2022-04-15,2022,4,15,Europe,France,Antipyretic,Ibuprofen,65+,1620,60.05,3526,708,0
2023-06-28,2023,6,28,East Asia,South Korea,Vitamin,Vitamin C,13-25,472,34.69,4701,512,0
2023-06-26,2023,6,26,North America,Canada,Antibiotic,Amoxicillin,46-65,323,16.21,4563,251,0
2025-07-19,2025,7,19,Middle East,Saudi Arabia,Vitamin,Multivitamin,13-25,397,65.71,4559,152,0
2022-11-16,2022,11,16,North America,Canada,Antipyretic,Paracetamol,26-45,214,26.26,4943,599,0
2020-01-12,2020,1,12,Africa,Kenya,Chronic,Metformin,13-25,3008,69.69,2192,321,1
2023-08-19,2023,8,19,Africa,Nigeria,Chronic,Metformin,65+,214,77.78,4896,99,0
2023-01-18,2023,1,18,South Asia,Bangladesh,Antibiotic,Azithromycin,0-12,278,96.72,4523,621,0
2022-04-22,2022,4,22,South America,Argentina,Cough_Cold,Cough Syrup,13-25,501,81.52,4643,395,0
2021-09-26,2021,9,26,South Asia,Sri Lanka,Vitamin,Multivitamin,13-25,203,35.16,4839,680,1
2025-05-20,2025,5,20,Oceania,Australia,Antipyretic,Paracetamol,0-12,339,38.39,4529,298,0
2021-10-09,2021,10,9,Middle East,UAE,Cough_Cold,Cough Syrup,26-45,475,80.76,4689,429,1
2025-10-07,2025,10,7,Middle East,UAE,Vitamin,Vitamin C,0-12,348,48.73,4629,679,0
2023-03-06,2023,3,6,Europe,UK,Vitamin,Multivitamin,13-25,628,51.3,4572,476,0
2023-01-14,2023,1,14,North America,Canada,Antipyretic,Ibuprofen,65+,590,48.01,4551,439,0
2024-09-26,2024,9,26,Europe,Germany,Cough_Cold,Cetirizine,26-45,202,15.76,4951,411,0
2022-03-17,2022,3,17,South Asia,India,Antipyretic,Ibuprofen,65+,565,8.53,4456,589,0
2023-04-24,2023,4,24,Oceania,New Zealand,Antipyretic,Ibuprofen,26-45,636,17.06,4470,656,0
2023-07-13,2023,7,13,Europe,UK,Antibiotic,Amoxicillin,65+,326,40.36,4626,63,0
2022-06-21,2022,6,21,South Asia,India,Chronic,Metformin,13-25,372,65.71,4813,143,0
2025-02-04,2025,2,4,Oceania,New Zealand,Antibiotic,Amoxicillin,13-25,591,28.55,4489,244,0
2020-10-18,2020,10,18,Africa,Nigeria,Chronic,Metformin,46-65,232,54.47,4800,57,1
2023-05-14,2023,5,14,Europe,UK,Antipyretic,Paracetamol,26-45,415,70.16,4580,318,0
2023-09-11,2023,9,11,East Asia,China,Chronic,Amlodipine,0-12,146,73.47,4859,74,0
2025-03-03,2025,3,3,South Asia,India,Chronic,Metformin,65+,344,35.92,4522,689,0
2024-04-05,2024,4,5,South America,Argentina,Vitamin,Vitamin C,0-12,298,52.62,4718,495,0
2022-12-08,2022,12,8,Africa,Nigeria,Antibiotic,Amoxicillin,26-45,231,35.18,4601,165,0
2025-07-08,2025,7,8,North America,Canada,Vitamin,Multivitamin,65+,413,56.74,4565,481,0
2021-03-22,2021,3,22,South America,Argentina,Cough_Cold,Cough Syrup,65+,710,65.63,4398,474,1
2025-08-30,2025,8,30,Europe,UK,Antipyretic,Paracetamol,65+,251,52.27,4557,611,0
2022-02-16,2022,2,16,Middle East,UAE,Chronic,Amlodipine,26-45,424,9.41,4598,584,0
2022-04-05,2022,4,5,Middle East,UAE,Chronic,Amlodipine,13-25,562,5.07,4609,694,0
2025-04-15,2025,4,15,North America,USA,Antipyretic,Ibuprofen,0-12,443,55.44,4453,718,0
2023-03-02,2023,3,2,South America,Brazil,Cough_Cold,Cough Syrup,46-65,389,47.92,4597,656,0
2020-02-06,2020,2,6,Africa,Kenya,Antipyretic,Ibuprofen,0-12,491,13.43,4622,338,1
2021-02-06,2021,2,6,Africa,Nigeria,Chronic,Metformin,26-45,938,57.82,3976,506,1
2025-10-11,2025,10,11,East Asia,Japan,Chronic,Metformin,46-65,176,66.78,4789,262,0
2024-02-04,2024,2,4,Europe,France,Cough_Cold,Cetirizine,26-45,527,38.61,4322,700,0
2024-09-27,2024,9,27,Oceania,Australia,Vitamin,Vitamin C,26-45,171,29.31,4945,253,0
2024-05-16,2024,5,16,South America,Argentina,Vitamin,Vitamin C,13-25,637,91.25,4347,593,0
2022-05-24,2022,5,24,North America,Canada,Antibiotic,Azithromycin,65+,461,96.41,4680,428,0
2024-03-26,2024,3,26,South America,Argentina,Antibiotic,Amoxicillin,0-12,603,71.83,4264,523,0
2022-05-04,2022,5,4,South America,Argentina,Vitamin,Vitamin C,65+,432,54.26,4547,150,0
2023-07-16,2023,7,16,Europe,UK,Antipyretic,Ibuprofen,65+,424,85.72,4592,466,0
2022-09-24,2022,9,24,South Asia,Bangladesh,Chronic,Amlodipine,46-65,166,21.3,4894,506,0
2020-05-01,2020,5,1,North America,Canada,Chronic,Amlodipine,65+,646,59.3,4417,171,1
2025-12-10,2025,12,10,South America,Brazil,Cough_Cold,Cough Syrup,0-12,487,94.64,4511,434,0
2022-12-30,2022,12,30,South Asia,Sri Lanka,Cough_Cold,Cetirizine,26-45,382,89.25,4520,108,0
2023-02-20,2023,2,20,South America,Argentina,Cough_Cold,Cetirizine,26-45,303,58.87,4792,369,0
2023-04-18,2023,4,18,East Asia,China,Cough_Cold,Cough Syrup,13-25,625,64.28,4438,465,0
2023-11-09,2023,11,9,South Asia,Bangladesh,Cough_Cold,Cough Syrup,13-25,283,30.94,4816,655,0
2025-04-13,2025,4,13,Oceania,New Zealand,Antipyretic,Ibuprofen,13-25,246,82.64,4638,542,0
